"","Hub6"
"GSM1379812",0.916367183104015
"GSM1379816",1.12491281534813
"GSM1379817",0.974764730165783
"GSM1379818",1.00938069851884
"GSM1379820",0.939411656673662
"GSM1379827",0.993423378259401
"GSM1379830",1.28565817000729
"GSM1379831",1.19960623252388
"GSM1379832",1.16579143018008
"GSM1379833",1.20031178607522
"GSM1379834",1.3706832246671
"GSM1379835",1.23474085601673
"GSM1379836",1.20381263099615
"GSM1379837",1.1287622586023
"GSM1379838",1.26231648406792
"GSM1379839",1.31726228786918
"GSM1379840",1.07054988144559
"GSM1379841",1.3951684272875
"GSM1379842",0.802053780358461
"GSM1379843",1.12345702406269
"GSM1379844",1.12775249412383
"GSM1379845",1.14801291721288
"GSM1379846",1.3165317335911
"GSM1379847",1.44609452608995
"GSM1379848",0.764660672855074
"GSM1379849",0.915040933657901
"GSM1379850",1.22502912958338
"GSM1379851",0.80801301166948
"GSM1379852",1.18209929139667
"GSM1379853",0.976102333038993
"GSM1379854",1.13355782230019
"GSM1379855",1.2188391565694
"GSM1379856",1.0901799082593
"GSM1379857",1.31769203763623
"GSM1379858",1.54511530201293
"GSM1379859",1.48166094241433
"GSM1379860",1.31693645451021
"GSM1379861",1.22906467770877
"GSM1379862",1.59276880352201
"GSM1379863",0.917314210261202
"GSM1379864",1.32526092893407
"GSM1379865",1.07571232464538
"GSM1379866",1.31751386246085
"GSM1379867",1.37786470842017
"GSM1379868",1.2235994160872
"GSM1379869",1.09732056093114
"GSM1379870",1.48991276881691
"GSM1379871",1.01149886412058
"GSM1379872",1.22490081709919
"GSM1379873",1.09980424746375
"GSM1379874",1.61425761376836
"GSM1379875",1.07657639663129
"GSM1379876",1.33013999156609
"GSM1379877",1.15740215955509
"GSM1379878",1.21257328320128
"GSM1379879",0.849864149860177
"GSM1379880",1.28699784885028
"GSM1379881",1.39503877972149
"GSM1379882",1.37981740640914
"GSM1379883",1.38773874944709
"GSM1379884",1.3341949463199
"GSM1379885",1.44952194820104
"GSM1379886",1.24394949871042
"GSM1379887",1.58025009103524
"GSM1379888",1.03094379064214
"GSM1379889",1.18998130923531
"GSM1379890",1.1569839359535
"GSM1379891",1.17641858356988
"GSM1379892",1.13880503590998
"GSM1379893",1.42878023241907
"GSM1379894",1.1192978239515
"GSM1379895",1.39450613746244
"GSM1379896",1.05818793780039
"GSM1379897",1.48384068295514
"GSM1379898",1.12551709202419
"GSM1379899",1.09286488672346
"GSM1379900",1.0645430922874
"GSM1379901",1.54432526569703
"GSM1379902",1.12249618106092
"GSM1379903",1.13578116461633
"GSM1379904",1.1932823333912
"GSM1379905",1.07774759351292
"GSM1379906",1.312313068656
"GSM1379907",1.5244696851396
"GSM1379908",1.23728570141838
"GSM1379909",1.4088485868674
"GSM1379910",1.17323381082319
"GSM1379911",1.52500040795718
"GSM1379912",1.14213283625133
"GSM1379913",1.0582575161665
"GSM1379914",1.03993988505258
"GSM1379915",1.38741617526989
"GSM1379916",0.741871348105276
"GSM1379917",1.13075448708406
"GSM1379918",1.14504960144862
"GSM1379919",1.06772774112412
"GSM1379920",1.11850297469475
"GSM1379921",1.19377311536973
"GSM1379922",1.47243844043545
"GSM1379923",1.22808324836602
"GSM1379924",0.848019339909752
"GSM1379925",1.53784544863715
"GSM1379926",1.60375580156299
"GSM1379927",1.61499230139245
"GSM1379929",1.1089678629973
"GSM1379931",1.00610161211795
"GSM1379932",0.974995875683401
"GSM1379934",1.02302232199855
"GSM1379935",1.20211361649697
"GSM1379936",0.984663008551049
"GSM1379937",1.05733447572557
"GSM1379939",1.06550605003138
"GSM1379940",1.1444195475069
"GSM1379941",1.11966955494321
"GSM1379942",1.12973129845936
"GSM1379944",1.12864057987448
"GSM1379947",1.10617228717426
"GSM1379950",0.961247584138187
"GSM1379954",1.08348596150956
"GSM1379955",0.825398286030556
"GSM1379956",0.931173200217832
"GSM1379957",0.976983546086484
"GSM1379961",0.871339329063829
"GSM1379962",1.20741407368469
"GSM1379963",1.20851492178929
"GSM1379965",1.3484719560637
"GSM1379966",1.50175670555679
"GSM1379967",1.03841750252727
"GSM1379968",1.1902793373135
"GSM1379969",1.40342965598109
"GSM1379970",1.18682856359569
"GSM1379971",0.836578331939035
"GSM1379972",1.29628794021041
"GSM1379973",0.90258023073346
"GSM1379974",1.5733312142432
"GSM1379975",1.1418719559986
"GSM1379976",1.48548798596917
"GSM1379977",1.10536173886178
"GSM1379978",1.28461919411362
"GSM1379979",1.0541049937438
"GSM1379980",0.781978853159908
"GSM1379981",1.31145394846621
"GSM1379982",1.18990936625478
"GSM1379983",1.10762203933472
"GSM1379984",0.95229257316945
